title,artist,year,medium,image
Shoulao,Chantilly,ca. 1735–40,Tin-glazed soft-paste porcelain decorataed in polychrome enamels,https://images.metmuseum.org/CRDImages/es/web-large/DP156648.jpg
Musk Cat,Uto Gyoshi,mid–late 16th century,Hanging scroll; ink and color on paper,https://images.metmuseum.org/CRDImages/as/web-large/DP361166.jpg
Ia Orana Maria (Hail Mary),Paul Gauguin,1891,Oil on canvas,https://images.metmuseum.org/CRDImages/ep/web-large/DT1025.jpg
"Fudō Myōō, the Immovable Wisdom King (Achala Vidyaraja)",Kaikei,early 13th century,"Japanese cypress with lacquer, color, gold, cut gold leaf (kirikane), and inlaid crystal eyes",https://images.metmuseum.org/CRDImages/as/web-large/DP-22243-001.jpg
Saint Francis,Federico Barocci,ca. 1600–1604,Oil on canvas,https://images.metmuseum.org/CRDImages/ep/web-large/DP104367.jpg
The Birth of the Virgin,Fra Carnevale (Bartolomeo di Giovanni Corradini),1467,Tempera and oil on wood,https://images.metmuseum.org/CRDImages/ep/web-large/DP109484.jpg
Virgin and Child with Four Angels,Gerard David,ca. 1510–15,Oil on wood,https://images.metmuseum.org/CRDImages/ep/web-large/DP-1410-001.jpg
Ten Verses on Oxherding,,1278,Handscroll; ink and color on paper,https://images.metmuseum.org/CRDImages/as/web-large/2015_300_10_Burke_website.jpg
“Udumbara Flowers” (Udonge) Temple Plaque,Yinyuan Longqi (Ingen Ryūki),carved 1741,"Carved wood; lacquer, color, and gold",https://images.metmuseum.org/CRDImages/as/web-large/DP-32891-001.jpg
Charity,Guido Reni,ca. 1630,Oil on canvas,https://images.metmuseum.org/CRDImages/ep/web-large/DT10776.jpg
Headdress ornament,Calima (Yotoco) artist,100 BCE–700 CE,Gold,https://images.metmuseum.org/CRDImages/ao/web-large/DP-26714-001.jpg
Beaker 11/18/2024,Cupisnique artist(s),1200–500 BCE,Soapstone,https://images.metmuseum.org/CRDImages/ao/web-large/DP-24341-003.jpg
Marie Antoinette in a Park,Elisabeth Louise Vigée Le Brun,ca. 1780–81,"Black chalk, stumped, and white chalk; framing lines in black chalk",https://images.metmuseum.org/CRDImages/dp/web-large/DP-18368-001.jpg
Pectoral with Face,,1st–7th century,Gold (hammered),https://images.metmuseum.org/CRDImages/ao/web-large/DP160741.jpg
"Charles Claude de Flahaut (1730–1809), Comte d'Angiviller",Jean-Baptiste Greuze,1763,Oil on canvas,https://images.metmuseum.org/CRDImages/ep/web-large/DP-19779-001.jpg
Xantil (deity censer),Eastern Nahua artist(s),1200–1521 CE,"Ceramic, slip",https://images.metmuseum.org/CRDImages/ao/web-large/DT1256.jpg
Flowers in a Grotesque Vase,Orsola Maddalena Caccia,ca. 1635,Oil on canvas,https://images.metmuseum.org/CRDImages/ep/web-large/DP-19714-001.jpg
Birds and Flowers of Summer and Autumn,Shikibu Terutada,mid-16th century,Pair of hanging scrolls; ink and color on paper,https://images.metmuseum.org/CRDImages/as/web-large/DP361146.jpg
Hortensia,Fernand Khnopff,1884,Oil on canvas,https://images.metmuseum.org/CRDImages/ep/web-large/DP354135.jpg
A Woman with a Dog,Giacomo Ceruti,1740s,Oil on canvas,https://images.metmuseum.org/CRDImages/ep/web-large/DP-29214-001.jpg
Botanical plate with spray of lilies,Chelsea Porcelain Manufactory,ca. 1755,Soft-paste porcelain with enamel decoration,https://images.metmuseum.org/CRDImages/es/web-large/DP-16385-067.jpg
Settee (one of a pair) (part of a set),Johann Michael Bauer,ca. 1763–64,"Carved, painted and gilded linden wood; squab pillow in silk velvet (not original)",https://images.metmuseum.org/CRDImages/es/web-large/DP105733.jpg
Virgin and Child Enthroned,Bohemian Painter,ca. 1345–50,Oil(?) and gold on wood,https://images.metmuseum.org/CRDImages/ep/web-large/DP-20592-001.jpg
The Jabach Family,Charles Le Brun,ca. 1660,Oil on canvas,https://images.metmuseum.org/CRDImages/ep/web-large/DP352819.jpg
Enameled and Gilded Bottle,,late 13th century,"Glass, greenish; blown, folded foot; enameled and gilded",https://images.metmuseum.org/CRDImages/is/web-large/DP170374.jpg
Portrait of a Woman with a Man at a Casement,Fra Filippo Lippi,ca. 1440,Tempera on wood,https://images.metmuseum.org/CRDImages/ep/web-large/DP159891.jpg
Tunic,Inca artist(s),1400–1535 CE,Camelid fiber,https://images.metmuseum.org/CRDImages/ao/web-large/DP-14281-001.jpg
